"","celltype"
"addlaobc-1","T_prolifer"
"addllbcf-1","Plasma_cell"
"addllhop-1","Neutrophil"
"addmngcp-1","Nonhaem"
"addnmefp-1","Nonhaem"
"addopefh-1","Neutrophil"
"addpiihi-1","BaEoMa"
"addpmcln-1","B_progenitor"
"adeajbll-1","Nonhaem"
"adeckimg-1","Nonhaem"
"adedoeph-1","Nonhaem"
"adegieob-1","Nonhaem"
"adeiceha-1","Nonhaem"
"adejciji-1","MonoCD16"
"adekjikj-1","T_prolifer"
"adekkenn-1","Erythroid"
"adekoceg-1","Nonhaem"
"adendmhm-1","Nonhaem"
"adeoilic-1","HSC"
"adeoljpi-1","T_prolifer"
"adeoogom-1","Nonhaem"
"adfcnhjj-1","Nonhaem"
"adfecahp-1","Neutrophil"
"adfeeppk-1","Erythroid"
"adfjindk-1","Nonhaem"
"adfjjcpi-1","Nonhaem"
"adfnigij-1","Nonhaem"
"adfpnkme-1","Nonhaem"
"adgfiloo-1","MonoCD14"
"adgfpieh-1","Erythroid"
"adggpcak-1","MonoCD14"
"adgjdggh-1","Nonhaem"
"adglkbpk-1","Nonhaem"
"adgmjnbd-1","HSC"
"adgphphl-1","Nonhaem"
"adgpkdeh-1","Nonhaem"
"adhcnofg-1","HSC"
"adhebahi-1","B_progenitor"
"adhflahb-1","Erythroid"
"adhfmpna-1","Erythroid"
"adhiibbc-1","Nonhaem"
"adhlgfle-1","Nonhaem"
"adhpldbh-1","B_progenitor"
"adicmoch-1","HSC"
"adidgmee-1","HSC"
"adidklel-1","Erythroid"
"adiekdib-1","B_progenitor"
"adifjcpp-1","Erythroid"
"adifppfb-1","MonoCD14"
"adigkiha-1","MonoCD14"
"adiglclg-1","CTL"
"adijomoi-1","B_memory"
"adijonmk-1","HSC"
"adikabnp-1","HSC"
"adikgeoi-1","Nonhaem"
"adildfho-1","Nonhaem"
"adilhmbc-1","Nonhaem"
"adimahjj-1","Nonhaem"
"adimopof-1","Nonhaem"
"adjcecnl-1","Nonhaem"
"adjfgajk-1","Nonhaem"
"adjfkbgk-1","HSC"
"adjgaikg-1","Nonhaem"
"adjhanlb-1","MonoCD14"
"adjkdhlc-1","pDC"
"adjnleip-1","Nonhaem"
"adkdfcaf-1","Nonhaem"
"adkdlcel-1","MonoCD16"
"adkkdfne-1","Erythroid"
"adklecgf-1","Nonhaem"
"adknaemn-1","Nonhaem"
"adkoocnn-1","NK_cell"
"adkphabo-1","Nonhaem"
"adldkmkg-1","Nonhaem"
"adleajbd-1","Nonhaem"
"adlebamj-1","Nonhaem"
"adlemflo-1","Granulocyte_monocyte_progenitor"
"adlhemdc-1","Erythroid"
"adljnlfi-1","MonoCD14"
"admanboa-1","Neutrophil"
"admbhkoa-1","Nonhaem"
"admhmfhg-1","Nonhaem"
"admibnea-1","B_naive"
"admiehcm-1","MonoCD14"
"adminoef-1","HSC"
"adnbcfij-1","Nonhaem"
"adnffahn-1","Erythroid"
"adnfjllm-1","Nonhaem"
"adnindfh-1","Erythroid"
"adnjmpoj-1","Nonhaem"
"adnkijmf-1","MonoCD14"
"adnmmhed-1","Nonhaem"
"adnpigoe-1","Nonhaem"
"adnplcoh-1","Granulocyte_monocyte_progenitor"
"adobchng-1","Nonhaem"
